day,hour,type,attendance,label,is_weekend,time_bin
0,8,0,85.0,2,0,0
0,10,0,70.0,2,0,0
0,12,1,40.0,1,0,1
1,9,0,25.0,0,0,0
1,11,0,55.0,1,0,0
1,14,1,90.0,2,0,1
2,8,0,15.0,0,0,0
2,10,0,65.0,2,0,0
2,13,1,35.0,1,0,1
3,9,0,95.0,2,0,0
3,11,1,45.0,1,0,0
4,8,0,60.0,1,0,0
4,10,0,20.0,0,0,0
4,14,0,75.0,2,0,1
5,10,1,30.0,1,1,0
6,11,0,10.0,0,1,0
0,15,0,88.0,2,0,1
1,16,1,50.0,1,0,1
2,17,0,12.0,0,0,2
3,8,0,68.0,2,0,0
0,8,0,85.0,2,0,0
0,10,0,70.0,2,0,0
0,12,1,40.0,1,0,1
1,9,0,25.0,0,0,0
1,11,0,55.0,1,0,0
1,14,1,90.0,2,0,1
2,8,0,15.0,0,0,0
2,10,0,65.0,2,0,0
2,13,1,35.0,1,0,1
3,9,0,95.0,2,0,0
3,11,1,45.0,1,0,0
4,8,0,60.0,1,0,0
4,10,0,20.0,0,0,0
4,14,0,75.0,2,0,1
5,10,1,30.0,1,1,0
6,11,0,10.0,0,1,0
0,15,0,88.0,2,0,1
1,16,1,50.0,1,0,1
2,17,0,12.0,0,0,2
3,8,0,68.0,2,0,0
0,8,0,85.0,2,0,0
0,10,0,70.0,2,0,0
0,12,1,40.0,1,0,1
1,9,0,25.0,0,0,0
1,11,0,55.0,1,0,0
1,14,1,90.0,2,0,1
2,8,0,15.0,0,0,0
2,10,0,65.0,2,0,0
2,13,1,35.0,1,0,1
3,9,0,95.0,2,0,0
3,11,1,45.0,1,0,0
4,8,0,60.0,1,0,0
4,10,0,20.0,0,0,0
4,14,0,75.0,2,0,1
5,10,1,30.0,1,1,0
6,11,0,10.0,0,1,0
0,15,0,88.0,2,0,1
1,16,1,50.0,1,0,1
2,17,0,12.0,0,0,2
3,8,0,68.0,2,0,0
0,8,0,85.0,2,0,0
0,10,0,70.0,2,0,0
0,12,1,40.0,1,0,1
1,9,0,25.0,0,0,0
1,11,0,55.0,1,0,0
1,14,1,90.0,2,0,1
2,8,0,15.0,0,0,0
2,10,0,65.0,2,0,0
2,13,1,35.0,1,0,1
3,9,0,95.0,2,0,0
3,11,1,45.0,1,0,0
4,8,0,60.0,1,0,0
4,10,0,20.0,0,0,0
4,14,0,75.0,2,0,1
5,10,1,30.0,1,1,0
6,11,0,10.0,0,1,0
0,15,0,88.0,2,0,1
1,16,1,50.0,1,0,1
2,17,0,12.0,0,0,2
3,8,0,68.0,2,0,0
