day,hour,type,attendance
Monday,8,theory,85
Monday,9,theory,88
Monday,10,lab,72
Monday,11,lab,70
Monday,12,theory,65
Monday,13,seminar,45
Monday,14,theory,78
Monday,15,lab,62
Monday,16,seminar,38
Monday,17,theory,55
Tuesday,8,theory,92
Tuesday,9,lab,68
Tuesday,10,lab,65
Tuesday,11,theory,90
Tuesday,12,seminar,42
Tuesday,13,theory,75
Tuesday,14,lab,58
Tuesday,15,theory,82
Tuesday,16,seminar,35
Tuesday,17,lab,48
Wednesday,8,theory,78
Wednesday,9,theory,80
Wednesday,10,lab,55
Wednesday,11,seminar,32
Wednesday,12,theory,72
Wednesday,13,lab,50
Wednesday,14,theory,85
Wednesday,15,seminar,40
Wednesday,16,lab,45
Wednesday,17,theory,60
Thursday,8,theory,95
Thursday,9,theory,92
Thursday,10,lab,75
Thursday,11,lab,78
Thursday,12,seminar,48
Thursday,13,theory,88
Thursday,14,lab,70
Thursday,15,theory,85
Thursday,16,seminar,52
Thursday,17,lab,58
Friday,8,theory,70
Friday,9,theory,65
Friday,10,lab,45
Friday,11,seminar,28
Friday,12,theory,55
Friday,13,lab,38
Friday,14,theory,50
Friday,15,seminar,25
Friday,16,lab,32
Friday,17,theory,42
Monday,8,lab,80
Monday,9,seminar,55
Monday,10,theory,88
Monday,11,theory,90
Monday,12,lab,68
Tuesday,8,seminar,48
Tuesday,9,theory,85
Tuesday,10,theory,92
Tuesday,11,lab,72
Tuesday,12,lab,70
Wednesday,8,lab,62
Wednesday,9,seminar,38
Wednesday,10,theory,82
Wednesday,11,theory,78
Wednesday,12,lab,55
Thursday,8,seminar,58
Thursday,9,lab,75
Thursday,10,theory,95
Thursday,11,theory,90
Thursday,12,lab,72
Friday,8,lab,52
Friday,9,seminar,30
Friday,10,theory,68
Friday,11,theory,62
Friday,12,seminar,22
Monday,14,lab,65
Monday,15,theory,82
Monday,16,theory,78
Tuesday,14,theory,88
Tuesday,15,seminar,45
Tuesday,16,lab,60
Wednesday,14,seminar,35
Wednesday,15,lab,52
Wednesday,16,theory,75
Thursday,14,theory,90
Thursday,15,lab,68
Thursday,16,theory,85
Friday,14,seminar,28
Friday,15,theory,48
Friday,16,lab,35
Monday,8,theory,20
Monday,9,lab,25
Monday,10,seminar,15
Tuesday,8,theory,18
Tuesday,9,lab,22
Tuesday,10,seminar,12
Wednesday,8,theory,28
Wednesday,9,lab,30
Wednesday,10,seminar,20
Thursday,8,theory,15
Thursday,9,lab,18
Thursday,10,seminar,10
Friday,8,theory,12
Friday,9,lab,15
Friday,10,seminar,8
Monday,14,theory,95
Monday,15,lab,88
Monday,16,seminar,75
Tuesday,14,theory,98
Tuesday,15,lab,92
Tuesday,16,seminar,80
Wednesday,14,theory,90
Wednesday,15,lab,85
Wednesday,16,seminar,72
Thursday,14,theory,100
Thursday,15,lab,95
Thursday,16,seminar,88
Friday,14,theory,85
Friday,15,lab,78
Friday,16,seminar,65
